rank,result
1,02:05:07
2,02:05:10
3,02:05:22
4,02:06:03
5,02:06:27
6,02:06:53
7,02:06:55
8,02:07:27
9,02:07:44
10,02:08:29
11,02:10:11
12,02:10:18
13,02:10:22
14,02:10:23
15,02:10:42
16,02:10:55
17,02:11:39
18,02:11:52
19,02:12:05
20,02:12:49
21,02:14:55
22,02:16:43
23,02:17:24
24,02:17:51
25,02:19:48
26,02:21:37
27,02:22:07
28,02:22:19
29,02:22:37
30,02:22:40
31,02:22:52
32,02:23:16
33,02:23:21
34,02:23:31
35,02:23:39
36,02:23:57
37,02:24:03
38,02:24:07
39,02:24:09
40,02:24:09
41,02:24:14
42,02:24:15
43,02:24:25
44,02:24:58
45,02:24:59
46,02:25:21
47,02:25:26
48,02:25:41
49,02:25:57
50,02:26:18
51,02:26:35
52,02:26:51
53,02:26:54
54,02:27:35
55,02:27:44
56,02:27:49
57,02:27:49
58,02:27:56
59,02:27:59
60,02:28:03
61,02:28:19
62,02:28:24
63,02:28:28
64,02:28:51
65,02:28:55
66,02:28:57
67,02:29:04
68,02:29:08
69,02:29:13
70,02:29:13
71,02:29:26
72,02:29:35
73,02:29:45
74,02:29:48
75,02:30:08
76,02:30:20
77,02:30:24
78,02:30:40
79,02:30:42
80,02:30:43
81,02:30:44
82,02:30:54
83,02:31:01
84,02:31:03
85,02:31:03
86,02:31:14
87,02:31:14
88,02:31:29
89,02:31:31
90,02:31:33
91,02:31:34
92,02:31:38
93,02:31:39
94,02:31:40
95,02:31:41
96,02:31:57
97,02:32:27
98,02:32:34
99,02:32:45
100,02:32:46
101,02:32:47
102,02:32:48
103,02:32:49
104,02:32:52
105,02:32:52
106,02:32:52
107,02:32:55
108,02:33:01
109,02:33:03
110,02:33:11
111,02:33:11
112,02:33:12
113,02:33:30
114,02:33:33
115,02:33:36
116,02:33:40
117,02:33:52
118,02:33:54
119,02:33:54
120,02:34:01
121,02:34:03
122,02:34:08
123,02:34:09
124,02:34:10
125,02:34:11
126,02:34:11
127,02:34:15
128,02:34:24
129,02:34:28
130,02:34:33
131,02:34:35
132,02:34:36
133,02:34:36
134,02:34:41
135,02:34:48
136,02:34:50
137,02:34:53
138,02:35:05
139,02:35:09
140,02:35:10
141,02:35:13
142,02:35:20
143,02:35:26
144,02:35:27
145,02:35:31
146,02:35:34
147,02:35:37
148,02:35:43
149,02:35:44
150,02:35:52
151,02:35:55
152,02:35:57
153,02:36:09
154,02:36:15
155,02:36:15
156,02:36:19
157,02:36:28
158,02:36:53
159,02:36:57
160,02:36:57
161,02:36:58
162,02:37:03
163,02:37:20
164,02:37:22
165,02:37:22
166,02:37:26
167,02:37:26
168,02:37:29
169,02:37:32
170,02:37:38
171,02:37:47
172,02:37:50
173,02:37:54
174,02:37:54
175,02:38:00
176,02:38:03
177,02:38:05
178,02:38:13
179,02:38:14
180,02:38:17
181,02:38:18
182,02:38:18
183,02:38:25
184,02:38:26
185,02:38:30
186,02:38:31
187,02:38:33
188,02:38:33
189,02:38:36
190,02:38:36
191,02:38:36
192,02:38:37
193,02:38:37
194,02:38:42
195,02:38:43
196,02:38:44
197,02:38:49
198,02:38:50
199,02:38:51
200,02:38:52
201,02:38:54
202,02:38:55
203,02:39:02
204,02:39:08
205,02:39:11
206,02:39:16
207,02:39:16
208,02:39:21
209,02:39:23
210,02:39:26
211,02:39:31
212,02:39:34
213,02:39:36
214,02:39:37
215,02:39:38
216,02:39:43
217,02:39:44
218,02:39:45
219,02:39:47
220,02:39:50
221,02:39:59
222,02:40:01
223,02:40:02
224,02:40:06
225,02:40:07
226,02:40:08
227,02:40:13
228,02:40:15
229,02:40:15
230,02:40:18
231,02:40:21
232,02:40:22
233,02:40:23
234,02:40:26
235,02:40:27
236,02:40:46
237,02:40:48
238,02:41:03
239,02:41:04
240,02:41:05
241,02:41:05
242,02:41:13
243,02:41:16
244,02:41:16
245,02:41:18
246,02:41:19
247,02:41:22
248,02:41:23
249,02:41:26
250,02:41:26
251,02:41:33
252,02:41:34
253,02:41:35
254,02:41:35
255,02:41:35
256,02:41:39
257,02:41:39
258,02:41:40
259,02:41:41
260,02:41:41
261,02:41:41
262,02:41:42
263,02:41:43
264,02:41:45
265,02:41:50
266,02:41:50
267,02:41:52
268,02:41:53
269,02:41:53
270,02:41:53
271,02:41:54
272,02:41:56
273,02:41:58
274,02:42:05
